member_id,employer_ref,policy_number,enrolment_date,total_contribution_cumulative_eur,retirement_date,employee_contribution_monthly_eur,employer_contribution_monthly_eur,age,gender,opt_out_date,company_name,annual_salary_estimate_eur,loss
MEM0000001,EMP000016,2338687,08-04-2014,45325.06,15-06-2026,177.77,170.88,64,Male,,Nest Pension Ltd,42450,
MEM0000002,EMP000018,5418934,09-08-2015,16415.45,05-05-2061,65.63,78.37,33,Male,,Nest Pension Ltd,32926,
MEM0000003,EMP000042,1971823,01-05-2010,36255.11,16-07-2047,111.41,92.27,39,Male,,Nest Pension Ltd,58688,
MEM0000004,EMP000031,8606962,30-12-2018,16124.05,02-07-2056,103.41,117.47,29,Male,,Nest Pension Ltd,46511,
MEM0000005,EMP000025,7366205,16-03-2020,13920.04,28-02-2051,114.99,125.01,42,Female,,Nest Pension Ltd,38629,
MEM0000006,EMP000036,2191066,30-11-2020,2506.82,22-04-2053,24.52,26.64,33,Male,,Nest Pension Ltd,12000,
MEM0000007,EMP000004,3770370,28-02-2022,9037.25,18-03-2064,133.28,132.52,25,Male,,Nest Pension Ltd,56984,
MEM0000008,EMP000031,3710343,29-11-2021,4261.15,09-08-2048,58.82,56.35,33,Male,,Nest Pension Ltd,31613,
MEM0000009,EMP000012,8038374,07-05-2023,4103.76,19-11-2061,101.37,103.82,25,Male,,Nest Pension Ltd,25990,
MEM0000010,EMP000037,9961380,26-12-2022,4876.21,06-11-2028,92.13,111.05,60,Male,,Nest Pension Ltd,30624,
MEM0000011,EMP000043,5446912,05-09-2022,7172.63,13-01-2033,128.6,127.57,55,Male,,Nest Pension Ltd,47338,
MEM0000012,EMP000046,4567281,10-05-2015,8913.97,08-07-2046,41.67,34.52,45,Female,,Nest Pension Ltd,16687,
MEM0000013,EMP000020,1054447,03-02-2017,17353.84,17-09-2048,84.89,95.88,31,Female,,Nest Pension Ltd,46076,
MEM0000014,EMP000037,5661907,24-08-2011,33488.27,23-12-2027,101.06,105.66,67,Male,,Nest Pension Ltd,37570,
MEM0000015,EMP000023,8038374,25-06-2015,16817.95,07-09-2036,73.75,72.49,52,Male,,Nest Pension Ltd,28090,
MEM0000016,EMP000035,4594297,14-10-2016,44149.69,10-09-2028,201.96,239.54,67,Female,10-05-2024,Nest Pension Ltd,50856,
MEM0000017,EMP000036,5491946,17-11-2024,83.73,24-03-2058,44.51,39.22,26,Male,,Nest Pension Ltd,24846,
MEM0000018,EMP000007,6944126,30-05-2022,11220.22,12-10-2056,190.79,171.15,31,Female,,Nest Pension Ltd,44175,
MEM0000019,EMP000046,5137722,26-07-2014,25864.41,25-06-2030,104.34,99.32,70,Male,,Nest Pension Ltd,22411,
